run_id,family,index_name,embedding_model,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,total,correct,accuracy,metrics_path,predictions_path,is_complete,version,group_key,elapsed_seconds,examples_per_second,seconds_per_example
NO_RAG|cot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,cot,llama3_med42_8b,1273,760,0.597014925373,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/metrics.json,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/predictions.jsonl,True,v2,NO_RAG|cot|llama3_med42_8b,3154.3316349983215,0.4035720232697338,2.477872454829789
NO_RAG|zero_shot|gemma3|base,NO_RAG,none,none,none,none,none,none,zero_shot,gemma3,1273,712,0.559308719560,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/metrics.json,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/predictions.jsonl,True,base,NO_RAG|zero_shot|gemma3,147.97133469581604,8.603017622412477,0.11623828334313907
NO_RAG|zero_shot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,zero_shot,llama3_med42_8b,1273,707,0.555380989788,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/metrics.json,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/predictions.jsonl,True,v2,NO_RAG|zero_shot|llama3_med42_8b,94.86154246330261,13.41955830512099,0.07451810091382766
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,1273,717,0.563236449332,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot,575.4137980937958,2.2123209492319016,0.452013981220578
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,752,0.590730557738,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,387.49360632896423,3.285215495708803,0.30439403482243854
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,1273,718,0.564021995287,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot,1057.7563202381134,1.2034907999542208,0.8309161981446296
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,764,0.600157109191,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot,761.4987754821777,1.6717032790944961,0.5981922823897704
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,1273,749,0.588373919874,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot,666.2352743148804,1.9107364156139632,0.5233584244421684
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,750,0.589159465829,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,467.0424499511719,2.7256623035723817,0.36688330711011147
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,1273,746,0.586017282011,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot,1149.2047731876373,1.1077225136030215,0.9027531603987724
