example_id,gold,pred_best_rag,pred_baseline,changed_correctness,question_type,notes
unknown,C,B,C,correct_to_wrong,negation,RAG introduced error
unknown,E,C,D,unchanged_wrong,treatment,Both incorrect
unknown,C,C,C,unchanged_correct,other,Both correct
unknown,D,B,B,unchanged_wrong,other,Both incorrect
unknown,B,B,B,unchanged_correct,treatment,Both correct
unknown,E,C,C,unchanged_wrong,other,Both incorrect
unknown,D,A,A,unchanged_wrong,other,Both incorrect
unknown,C,C,C,unchanged_correct,treatment,Both correct
unknown,C,C,C,unchanged_correct,other,Both correct
unknown,A,B,A,correct_to_wrong,other,RAG introduced error
unknown,E,D,E,correct_to_wrong,negation,RAG introduced error
unknown,D,D,D,unchanged_correct,other,Both correct
unknown,B,B,E,wrong_to_correct,other,RAG corrected baseline error
unknown,E,B,A,unchanged_wrong,negation,Both incorrect
unknown,D,D,C,wrong_to_correct,other,RAG corrected baseline error
unknown,B,B,B,unchanged_correct,other,Both correct
unknown,E,D,E,correct_to_wrong,mechanism,RAG introduced error
unknown,E,A,E,correct_to_wrong,other,RAG introduced error
unknown,B,C,A,unchanged_wrong,treatment,Both incorrect
unknown,E,C,C,unchanged_wrong,other,Both incorrect
unknown,C,A,C,correct_to_wrong,treatment,RAG introduced error
unknown,A,D,A,correct_to_wrong,other,RAG introduced error
unknown,D,D,D,unchanged_correct,other,Both correct
unknown,E,B,B,unchanged_wrong,other,Both incorrect
unknown,A,A,A,unchanged_correct,negation,Both correct
unknown,E,E,E,unchanged_correct,other,Both correct
unknown,E,E,E,unchanged_correct,other,Both correct
unknown,A,A,A,unchanged_correct,mechanism,Both correct
unknown,D,D,D,unchanged_correct,other,Both correct
unknown,D,D,D,unchanged_correct,other,Both correct
unknown,E,E,E,unchanged_correct,other,Both correct
unknown,C,D,D,unchanged_wrong,other,Both incorrect
unknown,E,C,E,correct_to_wrong,treatment,RAG introduced error
unknown,B,B,E,wrong_to_correct,other,RAG corrected baseline error
unknown,B,E,A,unchanged_wrong,treatment,Both incorrect
unknown,A,A,A,unchanged_correct,diagnosis,Both correct
unknown,E,D,D,unchanged_wrong,other,Both incorrect
unknown,A,A,A,unchanged_correct,other,Both correct
unknown,E,C,E,correct_to_wrong,treatment,RAG introduced error
unknown,A,D,A,correct_to_wrong,treatment,RAG introduced error
unknown,D,D,D,unchanged_correct,diagnosis,Both correct
unknown,C,C,C,unchanged_correct,negation,Both correct
unknown,A,A,A,unchanged_correct,negation,Both correct
unknown,C,D,D,unchanged_wrong,other,Both incorrect
unknown,B,C,D,unchanged_wrong,other,Both incorrect
unknown,E,E,A,wrong_to_correct,other,RAG corrected baseline error
unknown,C,B,A,unchanged_wrong,treatment,Both incorrect
unknown,A,A,E,wrong_to_correct,diagnosis,RAG corrected baseline error
unknown,B,B,B,unchanged_correct,other,Both correct
unknown,D,D,D,unchanged_correct,treatment,Both correct
unknown,E,E,E,unchanged_correct,treatment,Both correct
unknown,A,E,E,unchanged_wrong,other,Both incorrect
unknown,D,D,D,unchanged_correct,other,Both correct
unknown,D,D,C,wrong_to_correct,treatment,RAG corrected baseline error
unknown,B,B,B,unchanged_correct,negation,Both correct
unknown,B,B,B,unchanged_correct,diagnosis,Both correct
unknown,C,D,A,unchanged_wrong,treatment,Both incorrect
unknown,B,B,D,wrong_to_correct,other,RAG corrected baseline error
unknown,C,C,C,unchanged_correct,diagnosis,Both correct
unknown,A,C,E,unchanged_wrong,other,Both incorrect
unknown,D,B,D,correct_to_wrong,other,RAG introduced error
unknown,A,A,A,unchanged_correct,other,Both correct
unknown,D,D,C,wrong_to_correct,other,RAG corrected baseline error
unknown,A,A,A,unchanged_correct,negation,Both correct
unknown,A,B,A,correct_to_wrong,mechanism,RAG introduced error
unknown,C,C,C,unchanged_correct,negation,Both correct
unknown,D,D,D,unchanged_correct,negation,Both correct
